"season","week","pw","pi","ti","pw.nopast","pi.nopast","ti.nopast"
"2005/2006",0,0.98594,0.99993,0.99849,0.98594,0.99993,0.99849
"2005/2006",4,0.9959,0.99989,0.98691,0.99603,0.99989,0.98652
"2005/2006",8,0.98215,0.99999,0.9981,0.98452,0.99999,0.99792
"2005/2006",12,0.81427,1,0.99999,0.82224,1,0.99999
"2005/2006",16,0.92228,1,0.99938,0.92725,1,0.99944
"2005/2006",20,0.85925,1,0.99997,0.8804,1,0.99997
"2005/2006",24,0.97347,1,0.99991,0.90037,1,0.9999
"2005/2006",28,0.98362,0.99995,0.97156,0.57778,0.99995,0.97656
"2005/2006",32,0.85036,0.85036,0.09454,0.10431,0.84921,0.16973
"2005/2006",36,0.97296,0.97296,0.084,0.11476,0.94676,0.19523
"2005/2006",40,0.99998,0.99998,0.64389,0.3496,0.99624,0.75863
"2005/2006",44,1,1,0.68967,0.36308,0.99316,0.76757
"2005/2006",48,1,1,0.10286,0.38325,0.98832,0.54758
"2006/2007",0,0.19442,0.79637,0.90086,0.19442,0.79637,0.90086
"2006/2007",4,0.44259,0.87686,0.88176,0.45508,0.87686,0.88071
"2006/2007",8,0.4429,0.94383,0.95524,0.47886,0.94383,0.95463
"2006/2007",12,0.58285,0.80134,0.83129,0.55834,0.80134,0.83021
"2006/2007",16,0.52223,0.62338,0.63279,0.5144,0.62328,0.63272
"2006/2007",20,0.60358,0.88801,0.90661,0.61707,0.88756,0.90516
"2006/2007",24,0.91767,0.93356,0.93686,0.79725,0.92275,0.93704
"2006/2007",28,0.69594,0.69594,0.69609,0.36122,0.6917,0.72018
"2006/2007",32,0.28469,0.28469,0.31556,0.03982,0.26902,0.35905
"2006/2007",36,0.95972,0.95972,0.92184,0.23672,0.85199,0.92519
"2006/2007",40,0.95821,0.95821,0.83985,0.17971,0.7752,0.82106
"2006/2007",44,0.97564,0.97564,0.75762,0.14696,0.68144,0.6644
"2006/2007",48,0.9204,0.9204,0.07769,0.13053,0.58922,0.35468
"2007/2008",0,0.25345,1,0.99953,0.25345,1,0.99953
"2007/2008",4,0.64661,1,0.99646,0.5919,1,0.99651
"2007/2008",8,0.65808,1,0.99836,0.60427,1,0.99843
"2007/2008",12,0.63301,0.99999,0.99485,0.61937,0.99999,0.99518
"2007/2008",16,0.67451,1,0.98671,0.63082,1,0.98718
"2007/2008",20,0.50327,1,0.98749,0.4969,1,0.98792
"2007/2008",24,0.34704,0.98853,0.50956,0.219,0.98853,0.54008
"2007/2008",28,0.92537,0.92537,0.04272,0.06437,0.92517,0.08909
"2007/2008",32,0.99438,0.99438,0.02491,0.08726,0.98814,0.10485
"2007/2008",36,1,1,0.0191,0.14685,0.99912,0.21376
"2007/2008",40,1,1,0.62171,0.20198,0.99897,0.73736
"2007/2008",44,1,1,0.44616,0.19527,0.99975,0.71673
"2007/2008",48,1,1,0.20275,0.20502,0.99859,0.65281
"2008/2009",0,0.12428,1,0.9999,0.12428,1,0.9999
"2008/2009",4,0.08175,1,0.99992,0.08207,1,0.99992
"2008/2009",8,0.17233,1,0.9998,0.1809,1,0.99979
"2008/2009",12,0.3067,0.99997,0.96276,0.28212,0.99997,0.96484
"2008/2009",16,0.57862,0.57862,0.04188,0.01229,0.57843,0.06129
"2008/2009",20,1,1,0.99798,0.46323,0.99995,0.99845
"2008/2009",24,1,1,0.95887,0.5665,0.99993,0.96762
"2008/2009",28,1,1,0.95365,0.5734,0.9999,0.96601
"2008/2009",32,0.87278,0.87278,1e-04,0.19969,0.87193,0.00418
"2008/2009",36,1,1,0.93704,0.66129,0.9992,0.96741
"2008/2009",40,1,1,0.53351,0.67087,0.99927,0.79679
"2008/2009",44,1,1,0.3129,0.66655,0.9965,0.69481
"2008/2009",48,1,1,0.83031,0.66195,0.99436,0.84149
"2009/2010",0,0.98612,0.30361,0.5155,0.98612,0.30361,0.5155
"2009/2010",4,0.96727,0.54407,0.77803,0.96728,0.54407,0.77068
"2009/2010",8,0.95618,0.71759,0.61803,0.95634,0.71758,0.62021
"2009/2010",12,0.87038,0.84577,0.91025,0.8622,0.84577,0.90973
"2009/2010",16,0.87052,0.81401,0.88306,0.86181,0.81401,0.88169
"2009/2010",20,0.95216,0.57252,0.69403,0.94883,0.57252,0.69621
"2009/2010",24,0.79673,0.97233,0.97707,0.74711,0.97232,0.97644
"2009/2010",28,0.61538,0.89184,0.92443,0.50682,0.89184,0.92826
"2009/2010",32,0.6696,0.49597,0.71252,0.63319,0.45344,0.73422
"2009/2010",36,0.89322,0.89322,0.79005,0.62459,0.44707,0.79905
"2009/2010",40,0.98045,0.98045,0.87368,0.55438,0.3541,0.86291
"2009/2010",44,0.96163,0.96163,0.62004,0.53396,0.35495,0.59573
"2009/2010",48,0.97764,0.97764,0.35669,0.53559,0.31458,0.44401
"2010/2011",0,0.22631,1,0.99943,0.22631,1,0.99943
"2010/2011",4,0.23246,1,0.99971,0.23246,1,0.99969
"2010/2011",8,0.2195,1,0.99949,0.2195,1,0.9994
"2010/2011",12,0.41094,1,0.99627,0.41054,1,0.99605
"2010/2011",16,0.2688,1,0.99817,0.26897,1,0.99799
"2010/2011",20,0.37067,1,0.98494,0.37059,1,0.98376
"2010/2011",24,0.15653,1,0.99851,0.15491,1,0.99835
"2010/2011",28,0.80746,0.80746,0,0.00182,0.80746,0.00015
"2010/2011",32,1,1,0.88007,0.31694,0.99988,0.91118
"2010/2011",36,1,1,0.88159,0.38776,0.99994,0.90671
"2010/2011",40,1,1,0.36932,0.42932,0.99993,0.59269
"2010/2011",44,1,1,0.52963,0.43472,0.99985,0.69126
"2010/2011",48,1,1,0.79323,0.44072,0.99975,0.7477
"2011/2012",0,0.75692,1e-05,0.00107,0.75692,1e-05,0.00107
"2011/2012",4,0.72068,0.00105,0.01214,0.72101,0.00089,0.01132
"2011/2012",8,0.70116,0.00439,0.03227,0.70248,0.00339,0.03003
"2011/2012",12,0.65775,0.02146,0.10072,0.66064,0.01726,0.09453
"2011/2012",16,0.65822,0.04042,0.137,0.66394,0.0305,0.12643
"2011/2012",20,0.49396,0.17145,0.40456,0.51607,0.12297,0.38693
"2011/2012",24,0.56204,0.13141,0.36467,0.58213,0.08335,0.34501
"2011/2012",28,0.43901,0.51017,0.73283,0.52532,0.26761,0.70795
"2011/2012",32,0.14371,0.14371,0.30599,0.1981,0.03429,0.27741
"2011/2012",36,0.42014,0.42014,0.47787,0.35957,0.0647,0.41331
"2011/2012",40,0.52165,0.52165,0.4273,0.32458,0.03068,0.30242
"2011/2012",44,0.70066,0.70066,0.49335,0.38938,0.02441,0.27486
"2011/2012",48,0.87294,0.87294,0.23247,0.44597,0.01669,0.21349
"2012/2013",0,0.88633,0.99998,1,0.88633,0.99998,1
"2012/2013",4,0.83389,0.99999,1,0.83389,0.99999,1
"2012/2013",8,0.94818,0.99997,1,0.94818,0.99997,1
"2012/2013",12,0.97735,0.99977,0.99999,0.97735,0.99977,0.99999
"2012/2013",16,0.97227,0.99947,1,0.97045,0.99947,1
"2012/2013",20,0.99429,0.98997,0.99978,0.99421,0.98997,0.99977
"2012/2013",24,0.9999,0.99997,0.99996,0.99168,0.99997,0.99996
"2012/2013",28,0.95917,0.91341,0.99783,0.9274,0.91319,0.99555
"2012/2013",32,0.98083,0.98083,0.98097,0.75265,0.91897,0.98147
"2012/2013",36,0.99932,0.99932,0.79986,0.51543,0.85274,0.90936
"2012/2013",40,0.99843,0.99843,0.05126,0.21443,0.7186,0.4904
"2012/2013",44,1,1,0.6524,0.16114,0.62197,0.8414
"2012/2013",48,0.99999,0.99999,0.0238,0.12786,0.54307,0.64204
